# Isothermal calorimetry of a CEM I paste — calibration target
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 122-CEM I 52.5 R Cizkovice-397.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: Cizkovice 52.5R
# blaine: 397 m2/kg
# wb: 0.50
# temperature: 20C
# Truncated from line: 3 with assigned time: 0.75 h normalized with binder mass: 6.77 g
# Released heat up to 45 minutes (J/g of binder): 12.0 estimated
# reference fit by the depositors: Fitted affinity hydration model, B1 1.283304 h^-1, B2 9.275e-04, eta 5.6682, DoHInf 0.85, Qpot 500.0 J/g, Ea 38300.0 J/mol
#
# Subset of the source record: 485 of 12320 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
1.0230140062173207,0.0009131276276516732,0.0760391355158929,0.0
1.0442927002244524,0.0009048717577279106,0.145671510243855,0.0088
1.0613444725672403,0.0008983460303210641,0.20101801681515294,0.018
1.0814325580332014,0.0008911084123643105,0.2657221016229465,0.0274
1.1015206434991625,0.0008838707944075571,0.3299027828336333,0.0372
1.120877671374215,0.0008774253078404449,0.39127100677901805,0.0474
1.1477960575289197,0.0008684620466678918,0.47586465276330614,0.0579
1.1727838136090172,0.0008607958416665557,0.5536431465272204,0.0688
1.1977715697553422,0.0008531296366449011,0.6307320199562565,0.0802
1.2217238971259858,0.0008465534107981278,0.7040124765578962,0.1041
1.2456762244966295,0.0008399771849513546,0.7767258758678932,0.1168
1.2626788890361786,0.0008356418665139727,0.8280078553985497,0.1168
1.289439112941424,0.0008288185776221037,0.9081822568982596,0.1299
1.3120581387811237,0.0008237881375664022,0.9754668940869375,0.1436
1.3358501127031115,0.0008184968354798502,1.0457986563390775,0.1578
1.351217561364174,0.000815228616357149,1.0909898019523545,0.1725
1.3665850100252364,0.0008120601170570592,1.1360028988737971,0.1879
1.3888497649961047,0.0008074695137566806,1.200908073590429,0.1879
1.4054227279292213,0.0008044037674703022,1.2489924026472095,0.2038
1.4274921524524689,0.0008003212593184585,1.3127400467939152,0.2205
1.4504150028361213,0.0007964516483947152,1.3786247024222371,0.2378
1.4773184677627351,0.0007919100691397717,1.4555430831874743,0.2558
1.4964337662855784,0.0007890802342427372,1.5099410660870534,0.2558
1.5242638692590924,0.0007849602569120982,1.5887913422030286,0.2746
